"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num County total","num County rptg","over votes","under votes"
1,"US Senator","Mitch McCONNELL","REP",806787,56.19,2584573,1459409,120,120,"0","0"
2,"US Senator","Alison Lundergan GRIMES","DEM",584698,40.72,2584573,1459409,120,120,"0","0"
3,"US Senator","David M. PATTERSON","LIB",44240,3.08,2584573,1459409,120,120,"0","0"
4,"US Representative, 1st Congressional District","Ed WHITFIELD","REP",173022,73.12,508564,253003,35,35,"0","0"
5,"US Representative, 1st Congressional District","Charles Kendall HATCHETT","DEM",63596,26.88,508564,253003,35,35,"0","0"
6,"US Representative, 2nd Congressional District","S. Brett GUTHRIE","REP",156936,69.19,550245,256972,21,21,"0","0"
7,"US Representative, 2nd Congressional District","Ron LEACH","DEM",69898,30.81,550245,256972,21,21,"0","0"
8,"US Representative, 3rd Congressional District","Michael MACFARLANE","REP",87981,35.57,0,250594,1,1,"0","0"
9,"US Representative, 3rd Congressional District","John A. YARMUTH","DEM",157056,63.49,0,250594,1,1,"0","0"
10,"US Representative, 3rd Congressional District","Gregory Peter PUCCETTI","",2318,0.94,0,250594,1,1,"0","0"
11,"US Representative, 4th Congressional District","Thomas MASSIE","REP",150464,67.73,541792,242144,20,20,"0","0"
12,"US Representative, 4th Congressional District","Peter NEWBERRY","DEM",71694,32.27,541792,242144,20,20,"0","0"
13,"US Representative, 5th Congressional District","Harold "Hal" ROGERS","REP",171350,78.25,550383,246481,30,30,"0","0"
14,"US Representative, 5th Congressional District","Kenneth S. STEPP","DEM",47617,21.75,550383,246481,30,30,"0","0"
15,"US Representative, 6th Congressional District","Andy BARR","REP",147404,59.99,541512,260653,19,19,"0","0"
16,"US Representative, 6th Congressional District","Elisabeth JENSEN","DEM",98290,40.01,541512,260653,19,19,"0","0"
17,"State Senator, 2nd Senatorial District","Danny CARROLL","REP",24752,58.46,85503,43415,4,4,"0","0"
18,"State Senator, 2nd Senatorial District","Jeff G. PARKER","DEM",17585,41.54,85503,43415,4,4,"0","0"
19,"State Senator, 4th Senatorial District","J. Dorsey RIDLEY","DEM",26811,100.00,76649,36331,6,6,"0","0"
20,"State Senator, 6th Senatorial District","C.B. EMBRY JR.","REP",21591,57.09,80962,39309,4,4,"0","0"
21,"State Senator, 6th Senatorial District","William M. COX JR.","DEM",16230,42.91,80962,39309,4,4,"0","0"
22,"State Senator, 8th Senatorial District","Joe BOWEN","REP",29140,100.00,82943,40633,3,3,"0","0"
23,"State Senator, 10th Senatorial District","Dennis L. PARRETT","DEM",23823,100.00,73587,34202,2,2,"0","0"
24,"State Senator, 12th Senatorial District","Alice Forgy KERR","REP",26458,62.93,208882,98497,1,1,"0","0"
25,"State Senator, 12th Senatorial District","Kathy Warnecke RYAN","DEM",15583,37.07,208882,98497,1,1,"0","0"
26,"State Senator, 14th Senatorial District","Jimmy HIGDON","REP",31413,100.00,67938,42152,5,5,"0","0"
27,"State Senator, 16th Senatorial District","George Maxwell "Max" WISE","REP",31918,100.00,82684,44265,7,7,"0","0"
28,"State Senator, 18th Senatorial District","Tony DOWNEY","REP",12817,37.31,85228,35918,3,3,"0","0"
29,"State Senator, 18th Senatorial District","Robin WEBB","DEM",21533,62.69,85228,35918,3,3,"0","0"
30,"State Senator, 20th Senatorial District","Paul R. HORNBACK","REP",29810,100.00,55543,41269,5,5,"0","0"
31,"State Senator, 22nd Senatorial District","Tom BUFORD","REP",28089,100.00,282545,134094,5,5,"0","0"
32,"State Senator, 24th Senatorial District","Wil SCHRODER","REP",21792,61.67,83300,37083,3,3,"0","0"
33,"State Senator, 24th Senatorial District","Jason Michael STEFFEN","DEM",13547,38.33,83300,37083,3,3,"0","0"
34,"State Senator, 26th Senatorial District","Ernie HARRIS","REP",34827,100.00,46071,50828,2,2,"0","0"
35,"State Senator, 28th Senatorial District","Ralph ALVARADO","REP",18636,52.81,255298,120134,3,3,"0","0"
36,"State Senator, 28th Senatorial District","R. J. PALMER II.","DEM",16656,47.19,255298,120134,3,3,"0","0"
37,"State Senator, 30th Senatorial District","Brandon D. SMITH","REP",27447,73.82,89427,42930,6,6,"0","0"
38,"State Senator, 30th Senatorial District","Jordan Bowling PALMER","DEM",9733,26.18,89427,42930,6,6,"0","0"
39,"State Senator, 32nd Senatorial District","Mike WILSON","REP",24666,100.00,74822,33494,1,1,"0","0"
40,"State Senator, 34th Senatorial District","Jared K. CARPENTER","REP",22932,64.65,279903,130612,3,3,"0","0"
41,"State Senator, 34th Senatorial District","Michael S. COPE","DEM",12540,35.35,279903,130612,3,3,"0","0"
42,"State Senator, 36th Senatorial District","Julie Raque ADAMS","REP",31623,66.39,0,50115,1,1,"0","0"
43,"State Senator, 36th Senatorial District","Siddique MALIK","DEM",16011,33.61,0,50115,1,1,"0","0"
44,"State Senator, 38th Senatorial District","Dan Malano SEUM","REP",26745,100.00,55370,38578,2,2,"0","0"
45,"State Representative, 1st Representative District","Steven Jack RUDY","REP",13017,100.00,70027,33882,5,5,"0","0"
46,"State Representative, 2nd Representative District","Richard HEATH","REP",9181,59.47,75394,37343,2,2,"0","0"
47,"State Representative, 2nd Representative District","Jesse WRIGHT","DEM",6258,40.53,75394,37343,2,2,"0","0"
48,"State Representative, 3rd Representative District","Randy BRIDGES","REP",6188,46.38,50861,24066,1,1,"0","0"
49,"State Representative, 3rd Representative District","Gerald WATKINS","DEM",7153,53.62,50861,24066,1,1,"0","0"
50,"State Representative, 4th Representative District","Lynn BECHLER","REP",8328,55.24,69850,27952,4,4,"0","0"
51,"State Representative, 4th Representative District","Jarrod H. JACKSON","DEM",6748,44.76,69850,27952,4,4,"0","0"
52,"State Representative, 5th Representative District","Kenny IMES","REP",12241,100.00,38696,17878,2,2,"0","0"
53,"State Representative, 6th Representative District","Keith TRAVIS","REP",7745,43.55,81509,41215,3,3,"0","0"
54,"State Representative, 6th Representative District","Will R. COURSEY","DEM",10041,56.45,81509,41215,3,3,"0","0"
55,"State Representative, 7th Representative District","Suzanne MILES","REP",8343,53.54,112545,52229,3,3,"0","0"
56,"State Representative, 7th Representative District","John WARREN","DEM",7241,46.46,112545,52229,3,3,"0","0"
57,"State Representative, 8th Representative District","John TILLEY","DEM",7400,100.00,56901,20814,2,2,"0","0"
58,"State Representative, 9th Representative District","Myron B. DOSSETT","REP",7770,100.00,78490,31622,2,2,"0","0"
59,"State Representative, 10th Representative District","Alan CLAYPOOL","REP",7002,46.37,94806,42066,3,3,"0","0"
